tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021florida,Premier,Pool,Knotty,Grassy,Ryan Fitzgerald,Jarratt Rouse,Ryan Marino,Brendan Ferreira,22,20
2021florida,Premier,Pool,Knotty,Grassy,Ryan Fitzgerald,Jarratt Rouse,Ryan Marino,Brendan Ferreira,21,19
2021florida,Premier,Pool,1-2-4 Skyball,Slice the Mango,Coleman Epperson's,Fredric Hinkle,Max Billinghurst,Dawson Morgan,21,16
2021florida,Premier,Pool,1-2-4 Skyball,Slice the Mango,Coleman Epperson's,Fredric Hinkle,Max Billinghurst,Dawson Morgan,21,14
2021florida,Premier,Pool,Cho & Chu,cool hwhip,David Gonzales,Patric Chu,Noah Luskus,Garrett Hornok,20,22
2021florida,Premier,Pool,Cho & Chu,cool hwhip,David Gonzales,Patric Chu,Noah Luskus,Garrett Hornok,21,19
2021florida,Premier,Pool,Cho & Chu,cool hwhip,David Gonzales,Patric Chu,Noah Luskus,Garrett Hornok,21,19
2021florida,Premier,Pool,Power Sweep,----,Addison Powers,Micah Corbett,Ravi Kandula,Dan Abrams,21,17
2021florida,Premier,Pool,Power Sweep,----,Addison Powers,Micah Corbett,Ravi Kandula,Dan Abrams,21,19
2021florida,Premier,Pool,Knotty,Slice the Mango,Ryan Fitzgerald,Jarratt Rouse,Max Billinghurst,Dawson Morgan,21,18
2021florida,Premier,Pool,Knotty,Slice the Mango,Ryan Fitzgerald,Jarratt Rouse,Max Billinghurst,Dawson Morgan,21,11
2021florida,Premier,Pool,1-2-4 Skyball,Grassy,Coleman Epperson's,Fredric Hinkle,Ryan Marino,Brendan Ferreira,21,14
2021florida,Premier,Pool,1-2-4 Skyball,Grassy,Coleman Epperson's,Fredric Hinkle,Ryan Marino,Brendan Ferreira,21,14
2021florida,Premier,Pool,Cho & Chu,----,David Gonzales,Patric Chu,Ravi Kandula,Dan Abrams,9,21
2021florida,Premier,Pool,Cho & Chu,----,David Gonzales,Patric Chu,Ravi Kandula,Dan Abrams,16,21
2021florida,Premier,Pool,Power Sweep,cool hwhip,Addison Powers,Micah Corbett,Noah Luskus,Garrett Hornok,18,21
2021florida,Premier,Pool,Power Sweep,cool hwhip,Addison Powers,Micah Corbett,Noah Luskus,Garrett Hornok,18,21
2021florida,Premier,Pool,Knotty,1-2-4 Skyball,Ryan Fitzgerald,Jarratt Rouse,Coleman Epperson's,Fredric Hinkle,17,21
2021florida,Premier,Pool,Knotty,1-2-4 Skyball,Ryan Fitzgerald,Jarratt Rouse,Coleman Epperson's,Fredric Hinkle,29,31
2021florida,Premier,Pool,Slice the Mango,Grassy,Max Billinghurst,Dawson Morgan,Ryan Marino,Brendan Ferreira,16,21
2021florida,Premier,Pool,Slice the Mango,Grassy,Max Billinghurst,Dawson Morgan,Ryan Marino,Brendan Ferreira,18,21
2021florida,Premier,Pool,Cho & Chu,Power Sweep,David Gonzales,Patric Chu,Addison Powers,Micah Corbett,25,27
2021florida,Premier,Pool,Cho & Chu,Power Sweep,David Gonzales,Patric Chu,Addison Powers,Micah Corbett,17,21
2021florida,Premier,Pool,----,cool hwhip,Ravi Kandula,Dan Abrams,Noah Luskus,Garrett Hornok,11,21
2021florida,Premier,Pool,----,cool hwhip,Ravi Kandula,Dan Abrams,Noah Luskus,Garrett Hornok,20,22
2021florida,Contender,Pool,Volley Llamas,The Underdogs,Joe Bondi,Will Picone,Thomas Ivan,Abel Tinsley,21,1
2021florida,Contender,Pool,Trash Pandas,Double Geezburger,Christian Bennett,ian murphy,Gavin Lotts,Grady Wright,21,17
2021florida,Contender,Pool,Canít hit a cut,Texas Boys,Kelby Betolett,Benjamin Goldfarb,Seth Searcy,Brandon Lindvall,21,18
2021florida,Contender,Pool,Generation Z,Rally Badgers,Gabe Finocchi,Connor Prelich,Liam Sherron,Samuel Corey,21,9
2021florida,Contender,Pool,The Hidden Leaf,Father and Son,Slade Warner,Ben Sasser,Jiddle Middle,Joe Consolino,21,9
2021florida,Contender,Pool,Twinz,Ka Chigga,Ali Jenki,Olivia Jenki,Dylan Schmitt,Jace Pibil,22,20
2021florida,Contender,Pool,Dom & Jay,Bad at Team names,Dom Orlando,Jayson Rhea,Reese Herndon,Grayson Wills,21,9
2021florida,Contender,Pool,Regulars at Six Flags,These Guys,Matthew Cole,Ethan McWhirter,Dustin Hagy,Jamie Schmidt,21,10
2021florida,Contender,Pool,Muscle Beach,hell ferrets,Alex Cook,Chandler Stephens,Ethan Hellinger,Justin Ferreter,21,11
2021florida,Contender,Pool,OWS,Anomaly,Austin Tchikatilov,Hayden Flood,Stephen Sweeney,Bosif Johnson,21,14
2021florida,Contender,Pool,Paradox,Clean Service,andrew scharf,Dylan East,Andrew Saba,Nathaniel Regier,21,5
2021florida,Contender,Pool,The Brands-Greggo Experience,Public Sets Offenders,Joshua Brands,Daddy Greggo,Aydan Soto,Max Annand,21,12
2021florida,Contender,Pool,Volley Llamas,Double Geezburger,Joe Bondi,Will Picone,Gavin Lotts,Grady Wright,21,8
